Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
46,Femenino,45,Ingeniero,Tequis,5,Vigilancia,10,Iluminación:Baches:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,Inseguridad,Seguridad,4,ok
47,Femenino,71,ama de casa,huwrta real,4,alumbrado,10,Iluminación:Baches:,9,No,inseguridad,mayor seguridad,4,ok
48,Femenino,38,tecnico radiólogo,foresta,5,la seguridad vial,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,Si,porque está cerca,mejorar las banquetas,1,ok
49,Femenino,51,adminisracion,himno nal,7,mas vigilancia,7,Baches:Pasos de cebra:Áreas de esparcimiento público:,9,No,por la inseguridad,seguridad,2,ok
50,Masculino,73,pensionado,horizontes residencial,5,la inseguridad,10,Baches:,10,Si,por la  cercania,seguridad,2,ok
52,Femenino,52,enfermera,colorines,1,"no traer carro, mas vigilancia ",5,Iluminación:,10,Si,"por el tiempo, en el dia por la inseguridad",mas vigilancia ,2,ok
53,Femenino,43,Ama de casa ,Colonia Tierra blanca,0,Gobierno,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,Inseguridad,"Mayor seguridad, transporte adecuado o rutas de transporte adecuadas",4,ok
54,Masculino,56,Guardia de seguridad ,Saucito,10,Vivir aqui,8,Iluminación:Baches:Rejas de alcantarillado:,9,Si,Por que es zona centrica ,Seguridad vial,3,ok
55,Masculino,2,55,Los Alamos,0,Su familia ha presenciado delincuencia y pleitod entre pandillas y narcotrafico,10,Iluminación:Baches:Banquetas:Áreas Verdes:,7,No,Es peligroso,Mayor seguridaf,3,ok
56,Femenino,47,Psicologa,Himno Nacional,7,"Mejor Iluminacion, hay pero no sirve ",10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,"No hay seguridad, lad calles están muy solas","Mayor vigilancia, otro problema es que no se puede confiar en la policia",6,ok
57,Masculino,55,quimico ,industrias,9,no mucho,10,Áreas públicas de esparcimiento y recreación:Pasos de cebra:,10,Si,reducir el trafico,mas seguridad,4,ok
58,Masculino,33,lic diseño industrial,tequis,1,todo,8,Iluminación:Baches:Banquetas:Otros:,9,No,inseguridad,seguridad,15,ok
59,Masculino,31,Lic Enfermería,Residencial Santiago,2,"Más elementos de seguridad, iluminación, poco espacio peatonal",10,Otros:,10,Si,.,seguridad,10,ok
60,Femenino,19,estudiante,morales,7,mas vigilancia,10,Iluminación:Baches:Pasos de cebra:,8,Si,inseguridad,vigilancia ,2,ok
61,Femenino,20,estudiante,lomas 4ta,10,seguridad,10,Baches:,5,No,por la inseguridad,seguridad,10,ok
62,Masculino,35,trabajador dwl.imss,ciudad valles,10,nada,10,Áreas de esparcimiento público:,10,No,por el trafico y la inseguridad,que sea el mas grande aun esta chico,2,ok
63,Masculino,57,Edificado y administrador de obra EAO,Lomas 2a,9,la presidencia,5,Iluminación:Baches:Banquetas:,10,No,inseguridad,combatir la inseguridad,4,ok
