Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
172,Femenino,33,licenciada,soledaz,1,menos valdios,7,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos de cebra:Rejas de alcantarillado:,10,No,inseguridad,policías,3,ok
173,Masculino,25,cocinero,carmona,9,nada ,8,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Otros:,9,No,por lo coches y seguridad,semaforos pasos peatonales ,2,ok
176,Femenino,60,juvilada,potosi rio verde,7,educacion vial,10,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,8,No,por la educacion vial ,mejorar la educacion vial ,6,ok
177,Femenino,25,mestra,lomas 4 seccion,0,todo,10,Iluminación:Baches:Banquetas:,10,No,inseguridad,seguridad,6,ok
178,Femenino,40,contador publico,valle de santiago,5,alumbrado,10,Iluminación:Baches:Otros:,10,No,la inseguridad,garantizar su seguridad,5,ok
181,Femenino,37,Director,Reyes,1,Seguridad,8,Iluminación:Baches:Banquetas:,10,No,Inseguridad,Seguridad,5,ok
182,Femenino,17,Estudiante,Zona centro,3,Que haya mas vigilancia,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,Por la inseguridad,Iluminacion y mayor seguridad,3,ok
183,Masculino,79,ingeniero quimico,morales ,6,la forma de ser de las personas ,10,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,No,inseguridad,formacion escolar de toda la gente ,2,ok
185,Femenino,46,medico,villas vallarta,5,"iluminacion, mas vigilancia",10,Baches:Otros:,10,Si,"mas rapido, menos contaminacion","coordinacion de semaforos, no hubiera secuestros",2,ok
188,Femenino,46,empleada,himno nacional,6,la inseguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,Si,por la inseguridad,seguridad,4,ok
189,Femenino,42,docente,valcones del valle,9,mas pilicia de transito,10,Iluminación:Baches:Banquetas:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Pasos a nivel:Áreas de esparcimiento público:,10,No,ni loca por la inseguridas y porque en el camino se puede ir comprando toda la porqueri qiw se enciebtra en la calle,que vivieramos en china o japon,10,ok
191,Masculino,46,Comercio,SanLeonel,8,Iluminacion,10,Iluminación:Baches:Banquetas:Pasos de cebra:Pasos a nivel:,7,No,Seguridad,Seguridad,10,ok
192,Femenino,26,lic admin,residencial santa marta,7,"rutas diferentes, salir en horas transitadas",10,Otros:,9,Si,si la seguridad lo permitiera,"seguridad, que no se estacionaran en doble fila, transitos coordinados",4,ok
193,Masculino,50,Guardia de seguridad,Fraccionamiento libertad,8,Alumbrado,9,Baches:,9,No,La inseguridad,Mas vigilancia y alumbrado,6,ok
195,Masculino,67,policia idustrial,hogares ferrocarrileros,5,Mas policias y patrullas,10,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos a nivel:,10,No,no es muy seguro,acompañado,12,ok
199,Femenino,44,Casa,Aviacion,7,Cultura,10,Iluminación:Baches:,9,No,Seguridad,Cercania,6,ok
203,Femenino,36,consultor medico,guanajuato,5,"alumbrado, policias, vigilancia",10,Iluminación:Baches:Banquetas:,10,No,"mucho trafico, se inunda, semaforos descoordinados","iluminacion, seguridad, personal para revision de entrada de niños, no hay estacionamientos",4,ok
204,Femenino,34,diseño grafico,lomas satelite,10,aumentar policias viales,10,Iluminación:Baches:Banquetas:Pasos de cebra:Otros:,10,No,inseguridad,monitoreo en el bus,4,ok
206,Femenino,33,Abogada,Colorines,3,"Mas comercios, mejor pavimento",6,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos de cebra:Áreas de esparcimiento público:,5,No,Trafico e inseguridad social,"Vigilancia, pavimento paso cebra ",5,ok
